123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
273.579	193.343	219.471	195.529	178.481	232.92	214.862	190.824	166.446	143.637	195.012	181.042
239.476	277.486	267.44	268.714	245.183	246.582	292.771	274.482	233.548	260.033	254.275	242.829
311.736	274.814	303.968	265.272	234.764	157.115	238.883	210.514	280.886	198.013	354.909	234.876
7535.63	6791.7	7387.77	6418.22	4291.95	4648.66	4962.21	4232.82	6192.69	5618.9	6002.21	5877.86
3498.68	3153.57	3069.07	2584.56	2137.91	1992.87	2450.68	1810.29	2525.43	2957.01	3116.45	3327.38
291.922	235.149	304.008	276.009	220.037	228.136	257.888	244.764	252.262	355.761	222.646	401.468
254.676	264.535	241.98	255.269	200.926	222.558	162.817	202.001	310.651	216.607	366.239	300.22
190.962	169.842	195.934	138.893	197.298	165.237	200.297	205.175	140.683	171.499	104.54	129.949
778.586	615.387	690.644	643.087	603.308	475.171	726.155	525.729	709.517	514.083	902.674	604.194
123.86	204.09	226.395	334.416	103.712	235.64	135.593	127.977	364.636	285.364	235.197	300.48
622.2	470.457	455.843	506.232	537.875	443.335	526.507	417.83	567.83	518.699	690.304	560.135
3342.93	2501.95	3085	2399.91	2207.67	2018.06	2264.37	2402.74	2524.87	2589.61	2311.66	2162.99
169.412	236.828	166.177	152.559	75.4807	204.949	136.236	107.67	139.759	69.795	35.2525	141.917
190.519	116.274	193.458	119.628	134.088	83.1178	221.44	184.919	48.1708	244.788	98.5705	229.387
260.5	219.411	208.501	206.464	173.249	185.664	265.243	236.579	191.694	137.14	227.662	131.802
555.335	509.842	460.577	529.746	408.378	471.544	470.197	436.777	477.643	430.16	441.843	459.085
382.091	316.972	353.673	346.092	297.098	272.149	343.515	330.938	335.462	356.75	391.999	402.271
265.325	262.927	257.284	276.247	248.817	254.931	276.842	292.348	311.539	255.912	178.553	302.435
1125.66	1273.83	1071.02	1183.7	821.307	983.979	916.392	885.802	1395.87	1190.28	1450.56	1235.9
339.637	254.098	496.853	284.616	335.133	204.539	426.641	301.493	158.044	427.582	166.747	432.393
1601.24	968.146	1088.41	1167.36	951.398	848.953	1105.49	854.502	884.881	940.984	1385.33	1179.03
828.353	650.021	691.503	761.848	621.477	666.92	688.113	629.783	682.931	661.169	809.655	927.198
420.687	387.931	468.558	395.87	327.74	368.949	341.172	405.474	343.46	534.124	305.78	466.814
1127.05	951.842	998.73	791.391	800.72	857.461	930.768	758.948	965.285	638.896	1146.06	823.557
403.564	223.642	382.097	274.766	340.377	181.287	395.601	202.415	182.489	302.21	185.45	381.466
140.834	160.115	152.014	114.483	116.821	113.36	178.584	134.612	99.8862	84.3662	86.9341	96.8919
2189.72	1976.17	2045.66	2410.81	2416.42	2267.53	2302.41	2153.37	2379.94	2502.79	2590.1	2469.11
572.037	101.427	682.125	235.131	867.293	160.335	937.891	338.862	74.0756	404.251	61.8804	478.766
102.804	102.278	146.551	138.432	84.8687	96.3328	123.998	142.639	100.493	165.886	56.7792	184.555
381.276	148.112	428.302	255.266	470.302	121.676	648.535	483.65	65.7803	340.404	48.2814	287.936
507.972	439.03	435.945	426.594	709.965	576.914	682.871	578.521	676.439	577.223	695.133	451.53
250.398	372.97	415.887	386.852	499.507	474.435	528.429	450.629	320.623	366.992	218.03	374.425
167.457	183.986	169.627	189.023	93.359	151.062	112.396	176.82	228.048	227.304	141.531	214.006
419.057	374.714	364.268	377.187	451.721	393.637	359.795	290.112	313.01	272.451	433.638	410.55
411.767	459.927	427.381	389.236	342.554	420.881	488.504	306.056	379.433	345.09	455.837	480.406
3204.34	4086.84	3833.56	3303.48	3967.24	3856.88	4013.44	3769.37	3144.37	3310.57	3137.41	3273.59
271.708	338.426	289.84	292.64	252.738	289.425	299.21	341.014	273.697	279.825	190.186	283.362
190.485	161.819	235.288	139.522	105.43	90.6611	103.842	68.5133	184.065	318.218	109.354	235.063
817.236	602.629	555.223	689.783	550.695	525.395	598.701	547.031	619.118	508.27	829.519	572.673
452.851	383.802	365.298	359.815	373.747	350.298	383.496	301.297	349.206	230.623	439.781	348.51
92.6747	73.9718	146.854	119.889	103.277	77.395	156.56	126.756	84.034	166.99	68.6102	174.366
435.452	362.262	374.708	316.1	403.869	362.369	421.564	410.615	384.645	328.714	476.062	486.116
550.824	593.263	575.637	593.817	459.37	498.736	517.789	440.488	451.294	327.989	522.681	413.261
148.016	17.6002	248.969	70.5419	151.231	31.8999	224.906	128.315	10.8059	259.954	9.4356	213.573
741.143	674.721	620.245	532.402	456.035	517.241	537.582	481.365	500.62	331.981	506.127	442.786
1670.66	1101.63	1154.72	1474.49	881.606	1017.74	878.2	941.07	1538.99	1247.61	1482.01	1061.36
531.506	441.258	465.599	545.505	328.38	416.97	409.821	383.599	590.56	523.394	656.716	529.612
1033.46	687.35	803.139	768.963	323.446	439.129	396.283	434.813	1000.51	1246.2	578.497	911.277
94.5256	162.647	175.547	129.262	42.9408	136.314	126.63	48.6254	134	39.1236	54.6817	131.157
76.2128	69.2296	96.404	163.789	82.168	141.158	126.008	222.252	99.7945	130.905	65.892	79.8718
46.2072	61.535	61.9397	87.4892	48.5965	79.3245	68.9281	78.0741	72.1854	58.8924	24.7321	56.3981
854.567	681.492	783.795	890.223	834.296	874.821	761.777	775.753	832.535	1018.2	1118.49	1004.98
374.002	546.475	375.679	387.898	398.582	451.747	496.023	527.478	460.067	456.382	279.333	430.751
191.878	193.052	143.504	158.063	132.669	130.637	157.966	151.57	173.173	151.71	111.519	146.047
101.797	128.349	147.971	135.007	134.782	132.002	176.299	193.34	181.896	158.365	68.7371	147.81
501.878	405.53	413.627	439.319	491.574	427.602	411.736	474.879	509.733	349.214	586.567	457.919
421.658	433.632	433.656	419.913	463.706	373.952	511.635	447.234	486.651	242.834	586.123	472.613
203.807	173.904	188.328	163.812	138.023	130.082	146.484	170.51	173.469	190.523	166.21	146.579
197.706	229.807	235.278	226.749	174.205	236.148	213.804	259.146	247.463	282.938	138.736	288.675
161.262	39.5453	202.103	93.5694	102.82	38.993	116.71	99.3435	30.6713	270.153	54.4732	242.095
56.4156	112.474	78.9146	74.3685	34.2573	90.5964	58.0504	98.294	101.261	97.449	39.1089	79.6925
1357.44	905.539	1088.25	1099.81	1329.9	1034.59	1207.48	951.197	717.567	651.848	1892.77	695.205
941.254	953.197	878.302	759.471	674.397	689.189	661.051	493.39	877.997	779.116	873.617	940.211
800.836	711.707	808.869	769.976	666.945	559.026	726.131	441.829	596.961	659.676	844.521	828.381
1301.4	1196.34	1115.06	872.477	682.161	821.36	649.579	919.018	827.755	1015.65	742.546	803.673
284.947	166.357	367.517	227.934	117.36	120.698	255.561	160.247	108.096	278.062	33.9459	152.163
52.639	55.8566	58.0831	41.9123	9.65184	20.6523	59.0901	18.1485	58.9443	47.8123	42.7996	71.2707
